"cases"
251
323
417
775
1057
1574
2280
3429
4634
6151
7719
9034
10175
9965
9423
7584
5788
4624
2882
1853
1353
896
573
500
193
230
16
7
0
54
89
0
8
0
0
127
119
28
9
36
69
81
214
274
403
762
1048
1675
2329
3684
5568
8599
11960
15208
18292
18928
17894
14233
9502
6276
3885
2455
1293
830
593
387
179
184
109
0
53
58
57
14
10
61
0
0
85
14
36
45
57
0
8
0
0
30
0
0
0
0
83
0
36
30
0
48
104
60
0
0
125
235
296
427
676
829
1170
1488
2030
2698
3415
4092
4898
5410
6343
5914
5361
4445
3866
3128
2034
1650
1044
649
532
449
310
310
83
35
161
123
45
40
16
80
64
112
105
11
128
99
176
228
465
663
901
1363
2124
3151
4499
7027
10692
15407
18713
21004
20842
17560
13759
9298
6025
3356
1892
882
513
304
146
110
82
56
91
0
0
0
45
87
81
10
0
35
0
69
2
67
59
0
0
0
79
0
73
46
70
49
75
0
0
0
47
91
68
127
131
142
344
335
532
856
1108
1551
2289
2839
3699
4512
5089
5790
5557
5119
5011
4471
3650
2828
2071
1576
1314
918
740
439
444
193
192
33
15
16
110
67
0
138
74
37
37
0
37
61
80
165
136
203
350
657
921
1396
2061
3509
5026
7519
10606
13887
17399
19528
19732
17548
13512
9170
6029
3665
2178
1399
661
483
154
154
0
23
0
0
83
0
0
0
66
0
0
102
14
0
0
60
0
81
0
45
49
17
15
105
0
0
34
4
0
12
43
103
120
40
92
82
160
297
325
428
779
1065
1464
1879
2472
3419
3881
4639
5144
5003
4869
4461
4130
3270
2602
2187
1766
1427
1123
737
605
237
202
216
200
201
41
64
57
0
120
4
73
0
77
92
101
141
257
284
497
568
1026
1646
2562
4064
5585
8876
12727
17295
21887
23804
21665
17509
11491
7062
3807
1957
1052
657
312
168
44
0
136
1
0
59
79
67
0
0
69
3
0
0
0
0
63
58
11
27
40
0
0
20
43
14
33
9
23
0
90
44
72
0
59
6
102
84
58
43
76
56
94
286
379
494
500
770
920
1306
1539
1797
1978
2118
2233
2365
2297
2166
2002
1683
1594
1267
1062
850
710
643
505
474
304
321
380
281
332
315
542
508
556
726
1014
1531
2223
3185
4605
6464
9536
13898
18704
23262
25406
24803
19551
12734
7431
4105
2159
1143
632
438
164
88
41
0
115
0
68
1
10
84
75
0
38
0
0
51
0
0
55
0
31
0
28
47
0
3
5
91
28
95
45
33
0
0
50
92
0
0
0
68
42
59
0
62
0
0
